model,n_train,n_test,auroc,pr_auc,accuracy,precision,recall,f1,brier
LogisticRegression,24004,11720,0.6086739900732262,0.6008041938210558,0.5783276450511945,0.5642529789184235,0.5454545454545454,0.5546945395566769,0.24043708206186953
RandomForest,24004,11720,0.6680185944972067,0.6706321428034565,0.6191126279863481,0.6183497289700863,0.5458089668615984,0.5798192771084337,0.2283015508718918
GradientBoosting,24004,11720,0.6725549493882207,0.6764403074674008,0.6138225255972696,0.614517121181054,0.5311004784688995,0.5697718631178708,0.22442583901414842
