term,coef,OR,p_value,OR_CI_low,OR_CI_high,significant_05
Intercept,2.4983231875469136,12.162083320310892,1.3679943409320774e-92,9.567845636210542,15.459725868734688,True
C(ownership_bin)[T.Nonprofit],-0.07404681517243175,0.9286282189334581,0.029697212842531524,0.8686627774215372,0.9927331887746499,True
C(ownership_bin)[T.Other/Unknown],-0.3723721460629883,0.6890977497862043,0.37608811598101277,0.3021211383397137,1.5717394399145577,False
C(ownership_bin)[T.Proprietary],0.254339794957675,1.2896099327791852,2.1491655119560428e-10,1.1922471379932187,1.3949236913430898,True
C(emergency_bin)[T.Unknown],0.2583682438650365,1.2948155387227134,0.5630400075009984,0.5394310251979074,3.1079919415141086,False
C(emergency_bin)[T.Yes],0.1208847258129735,1.1284948185464867,0.024675822567868336,1.015535205348986,1.254019111084025,True
C(measure_short)[T.CABG],-0.013761313044755691,0.9863329409752206,0.7769595675564115,0.896755315315007,1.0848585493034852,False
C(measure_short)[T.COPD],-0.2081253767030503,0.8121052112548852,3.4288284749969616e-08,0.7542356573218684,0.8744148698685765,True
C(measure_short)[T.HF],0.15010348295624823,1.1619544789914857,4.870766699342326e-05,1.080768282485593,1.2492392986804486,True
C(measure_short)[T.HIP-KNEE],-0.012432847916677143,0.9876441206273706,0.7601549171190871,0.9118724781643114,1.0697119743908383,False
C(measure_short)[T.PN],0.029736260368992698,1.0301827980902953,0.41550228446054105,0.9590219205355582,1.1066239204297739,False
C(fiscal_year_label)[T.FY2025],0.0459167671002386,1.0469872635442634,0.08159439746634563,0.9942567540052188,1.1025143410976028,False
C(fiscal_year_label)[T.FY2026],0.022411696760942124,1.0226647255694958,0.3980915565986656,0.9708631567477012,1.0772302292607403,False
C(state_grp)[T.FL],0.14375867886454827,1.1546054442056766,0.011230622680278749,1.0331674804140223,1.2903171625719072,True
C(state_grp)[T.GA],-0.08079636978438375,0.9223814970656374,0.2681320152124176,0.7994754529779082,1.064182299731667,False
C(state_grp)[T.IL],0.20658129375124082,1.2294676781941867,0.0013795476901768732,1.0832967325877287,1.3953617012334067,True
C(state_grp)[T.IN],-0.33701063497305944,0.7139012475418132,6.539020242000311e-06,0.6166036224748271,0.8265520549428232,True
C(state_grp)[T.MI],-0.14630418599800704,0.8638948784870871,0.03897142973332927,0.7518630892208436,0.992620028534218,True
C(state_grp)[T.MO],-0.2625310547803802,0.769102479689109,0.0007263859321146276,0.6604781292338657,0.8955915390416936,True
C(state_grp)[T.NC],-0.27954339262814,0.7561289166823855,0.00014586710577259914,0.6545533858297777,0.873467238915118,True
C(state_grp)[T.NJ],0.4803553389834315,1.6166487584676623,3.387559066219375e-09,1.378638342313628,1.8957496886884595,True
C(state_grp)[T.NY],0.169828744884775,1.1851018791819805,0.007329439274862817,1.0467572784981547,1.3417307840989972,True
C(state_grp)[T.OH],-0.15236530747227664,0.8586745432123915,0.0180051761796624,0.756835899938711,0.9742164334708725,True
C(state_grp)[T.Other],-0.49418750160367814,0.6100663839406639,1.3900633162300678e-33,0.5630505493251226,0.6610081337466717,True
C(state_grp)[T.PA],-0.10166477644212855,0.9033323191926182,0.10357868126352224,0.7992519933804844,1.0209662104770663,False
C(state_grp)[T.TN],-0.20142559981570862,0.8175644022395837,0.01044722617046043,0.7007534005995866,0.953847032690036,True
C(state_grp)[T.TX],-0.26331682580710686,0.7684983786176282,9.52870175287706e-07,0.6916900425566718,0.8538358536360381,True
C(state_grp)[T.VA],-0.31185815642849646,0.7320853624664867,4.853201551838731e-05,0.6298259516776689,0.8509477523275734,True
log_discharges,-0.4637235440920816,0.6289374038961583,3.3779701684614624e-125,0.6053717144744492,0.6534204498851502,True
